Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|
25286000,0.76,166.80,2.2,22.80,5.8,6.2
25510875,0.76,169.27,2.2,22.80,4.7,5.2
25735750,0.82,171.55,2.4,21.17,3.7,4.4
25960625,0.82,174.02,2.4,21.17,2.6,3.5
26185500,0.88,176.66,2.5,19.76,1.5,2.9
26410375,0.76,178.94,2.2,22.80,0.5,2.2
26635250,0.82,180.00,2.4,21.17,0.0,2.4
26860125,0.88,180.00,2.5,19.76,0.0,2.5
27085000,0.88,179.30,2.5,19.76,0.3,2.5
27309875,0.88,176.66,2.5,19.76,1.5,2.9
27534750,0.88,174.19,2.5,19.76,2.5,3.6
27759625,0.82,171.55,2.4,21.17,3.7,4.4
27984500,0.82,168.91,2.4,21.17,4.8,5.4
28209375,0.82,166.28,2.4,21.17,6.0,6.5
28434250,0.88,163.81,2.6,19.76,7.1,7.5
28659125,0.82,161.17,2.4,21.17,8.3,8.6
28884000,0.82,158.71,2.4,21.17,9.4,9.7
29108875,0.82,156.25,2.5,21.17,10.5,10.8
29333750,0.82,153.78,2.5,21.17,11.6,11.9
29558625,0.82,151.32,2.5,21.17,12.8,13.0
29783500,0.82,148.68,2.5,21.17,14.0,14.2
30008375,0.82,146.22,2.6,21.17,15.1,15.4
30233250,0.76,143.75,2.4,22.80,16.3,16.5
30458125,0.76,141.29,2.5,22.80,17.5,17.7
30683000,0.76,138.83,2.5,22.80,18.7,18.9
30907875,0.76,136.36,2.5,22.80,20.0,20.1
31132750,0.76,133.90,2.6,22.80,21.2,21.4
31357625,0.70,131.44,2.4,24.70,22.5,22.6
31582500,0.70,129.15,2.5,24.70,23.7,23.9
31807375,0.70,126.69,2.5,24.70,25.0,25.2
32032250,0.65,124.40,2.4,26.94,26.3,26.4
32257125,0.65,122.29,2.4,26.94,27.5,27.6
32482000,0.65,120.00,2.5,26.94,28.8,28.9
32706875,0.65,117.71,2.5,26.94,30.2,30.3
32931750,0.65,115.43,2.6,26.94,31.5,31.6
33156625,0.59,113.31,2.4,29.63,32.8,32.9
33381500,0.59,111.03,2.5,29.63,34.3,34.4
33606375,0.59,108.91,2.5,29.63,35.7,35.8
33831250,0.59,106.80,2.6,29.63,37.1,37.2
34056125,0.59,104.52,2.7,29.63,38.6,38.7
34281000,0.53,102.40,2.5,32.92,40.1,40.2
34505875,0.53,100.29,2.6,32.92,41.7,41.8
34730750,0.53,98.18,2.7,32.92,43.3,43.3
34955625,0.47,96.07,2.4,37.03,44.9,45.0
35180500,0.47,94.13,2.5,37.03,46.5,46.5
35405375,0.47,92.02,2.6,37.03,48.2,48.3
35630250,0.41,90.09,2.4,42.32,49.9,49.9
35855125,0.41,88.15,2.4,42.32,51.6,51.6
36080000,0.35,86.22,2.2,49.37,53.4,53.4
36304875,0.35,84.46,2.2,49.37,55.0,55.1
36529750,0.29,82.52,1.9,59.24,57.0,57.0
36754625,0.29,80.59,2.0,59.24,58.9,59.0
36979500,0.29,78.83,2.1,59.24,60.8,60.8
37204375,0.29,77.07,2.2,59.24,62.7,62.8
37429250,0.23,75.31,1.8,74.05,64.8,64.8
37654125,0.23,73.55,1.9,74.05,66.9,66.9
37879000,0.18,71.79,1.5,98.73,69.1,69.1
38103875,0.18,70.03,1.5,98.73,71.3,71.4
38328750,0.18,68.45,1.6,98.73,73.5,73.5
38553625,0.18,66.69,1.7,98.73,76.0,76.0
38778500,0.12,65.10,1.2,48.10,78.3,78.3
39003375,0.12,63.34,1.2,48.10,81.0,81.0
39228250,0.12,61.76,1.3,48.10,83.6,83.6
39453125,0.06,60.18,0.7,96.19,86.3,86.3
39678000,0.06,58.59,0.7,96.19,89.1,89.1
39902875,0.06,57.18,0.7,96.19,91.7,91.7
40127750,0.06,55.60,0.8,96.19,94.8,94.8
40352625,-0.00,54.02,0.0,?,98.1,98.1
40577500,-0.00,52.61,0.0,?,101.1,101.1
40802375,-0.00,51.03,0.0,?,104.8,104.8
41027250,-0.00,49.62,0.0,?,108.2,108.2
41252125,-0.06,48.21,1.0,96.19,111.7,111.7
41477000,-0.06,46.80,1.1,96.19,115.5,115.5
41701875,-0.06,45.40,1.1,96.19,119.5,119.5
41926750,-0.06,43.99,1.2,96.19,123.8,123.8
42151625,-0.06,42.58,1.3,96.19,128.3,128.3
42376500,-0.06,41.17,1.4,96.19,133.1,133.1
42601375,-0.06,39.94,1.4,96.19,137.6,137.6
42826250,-0.12,38.53,3.1,48.10,143.0,143.0
43051125,-0.06,37.13,1.7,96.19,148.9,148.9
43276000,-0.06,35.89,1.8,96.19,154.3,154.4
43500875,-0.06,34.49,1.9,96.19,161.1,161.1
43725750,-0.06,33.26,2.1,96.19,167.4,167.4
43950625,-0.06,31.85,2.2,96.19,175.2,175.2
44175500,-0.12,30.62,4.8,48.10,182.6,182.6
44400375,-0.12,29.38,5.2,48.10,190.6,190.6
44625250,-0.12,28.15,5.7,48.10,199.3,199.3
44850125,-0.12,26.92,6.2,48.10,208.7,208.8
45075000,-0.12,25.69,6.8,48.10,219.1,219.2
45299875,-0.12,24.46,7.5,48.10,230.5,230.6
45524750,-0.12,23.40,8.2,48.10,241.2,241.3
45749625,-0.18,22.17,13.7,98.73,254.5,254.9
45974500,-0.18,21.11,15.0,98.73,267.5,267.9
46199375,-0.18,19.88,16.9,98.73,284.3,284.8
46424250,-0.18,18.83,18.9,98.73,300.4,301.0
46649125,-0.18,17.60,21.6,98.73,321.7,322.4
46874000,-0.18,16.54,24.4,98.73,342.3,343.2
47098875,-0.18,15.31,28.4,98.73,369.9,371.0
47323750,-0.18,14.25,32.7,98.73,397.3,398.6
47548625,-0.18,13.20,38.1,98.73,428.9,430.6
47773500,-0.18,12.14,44.9,98.73,465.9,468.0
47998375,-0.23,11.09,71.0,74.05,505.4,510.3
48223250,-0.23,10.03,86.3,74.05,556.5,563.2
48448125,-0.23,8.97,107.2,74.05,618.7,628.0
48673000,-0.23,7.92,136.5,74.05,695.8,709.1
48897875,-0.23,6.86,179.4,74.05,793.5,813.6
49122750,-0.23,5.81,245.8,74.05,920.5,952.7
49347625,-0.23,4.93,332.7,74.05,1057.8,1108.9
49572500,-0.23,4.05,472.6,74.05,1234.6,1321.9
49797375,-0.23,3.34,653.6,74.05,1410.9,1554.9
50022250,-0.23,2.64,947.5,74.05,1615.1,1872.5
50247125,-0.23,2.11,1294.1,74.05,1765.0,2188.6
50472000,-0.23,1.94,1444.1,74.05,1805.5,2312.0
50696875,-0.23,1.76,1615.1,74.05,1835.8,2445.1
50921750,-0.23,1.76,1615.1,74.05,1835.8,2445.1
51146625,-0.23,1.94,1444.1,74.05,1805.5,2312.0
51371500,-0.23,2.11,1294.1,74.05,1765.0,2188.6
51596375,-0.23,2.46,1047.9,74.05,1667.4,1969.3
51821250,-0.23,2.99,782.0,74.05,1510.6,1701.0
52046125,-0.29,3.70,637.4,59.24,1216.5,1373.4
52271000,-0.29,4.57,449.5,59.24,1061.8,1153.0
52495875,-0.29,5.28,351.0,59.24,956.2,1018.5
52720750,-0.29,6.33,253.0,59.24,826.4,864.3
52945625,-0.29,7.21,199.0,59.24,739.9,766.2
53170500,-0.29,8.09,160.3,59.24,668.5,687.4
53395375,-0.29,9.15,127.0,59.24,598.1,611.4
53620250,-0.29,10.03,106.5,59.24,549.3,559.6
53845125,-0.29,10.91,90.6,59.24,507.6,515.6
54070000,-0.35,11.79,92.5,49.37,466.2,475.2
54294875,-0.29,12.67,67.8,59.24,440.1,445.3
54519750,-0.23,13.72,46.7,74.05,410.2,412.9
54744625,-0.23,14.60,41.3,74.05,385.8,388.1
54969500,-0.23,15.48,36.8,74.05,364.1,366.0
55194375,-0.23,16.36,33.0,74.05,344.7,346.2
55419250,-0.23,17.42,29.2,74.05,323.8,325.1
55644125,-0.23,18.30,26.5,74.05,308.2,309.4
