Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|
109164375,-0.35,26.74,18.8,49.37,208.7,209.6
109389250,-0.35,27.80,17.4,49.37,200.6,201.4
109614125,-0.35,28.68,16.4,49.37,194.3,195.0
109839000,-0.35,29.74,15.3,49.37,187.2,187.8
110063875,-0.35,30.79,14.3,49.37,180.5,181.1
110288750,-0.35,31.67,13.5,49.37,175.3,175.8
110513625,-0.35,32.73,12.7,49.37,169.4,169.9
110738500,-0.35,33.61,12.1,49.37,164.8,165.2
110963375,-0.35,34.66,11.4,49.37,159.5,159.9
111188250,-0.35,35.72,10.7,49.37,154.5,154.9
111413125,-0.35,36.60,10.2,49.37,150.6,150.9
111638000,-0.35,37.65,9.7,49.37,146.1,146.4
111862875,-0.35,38.71,9.2,49.37,141.8,142.1
112087750,-0.29,39.59,7.3,59.24,138.6,138.8
112312625,-0.29,40.65,7.0,59.24,134.7,134.9
112537500,-0.29,41.70,6.6,59.24,131.0,131.2
112762375,-0.29,42.58,6.4,59.24,128.0,128.2
112987250,-0.29,43.64,6.1,59.24,124.6,124.8
113212125,-0.29,44.69,5.8,59.24,121.4,121.5
113437000,-0.29,45.57,5.6,59.24,118.8,118.9
113661875,-0.29,46.63,5.4,59.24,115.8,115.9
113886750,-0.29,47.68,5.2,59.24,112.9,113.1
114111625,-0.23,48.56,4.0,74.05,110.7,110.8
114336500,-0.23,49.62,3.8,74.05,108.1,108.1
114561375,-0.18,50.67,2.8,98.73,105.5,105.6
114786250,-0.18,51.55,2.7,98.73,103.5,103.5
115011125,-0.18,52.61,2.6,98.73,101.1,101.1
115236000,-0.18,53.67,2.5,98.73,98.8,98.8
115460875,-0.18,54.72,2.4,98.73,96.6,96.6
115685750,-0.12,55.78,1.5,48.10,94.5,94.5
115910625,-0.12,56.83,1.5,48.10,92.4,92.4
116135500,-0.12,57.89,1.4,48.10,90.4,90.4
116360375,-0.12,58.94,1.4,48.10,88.5,88.5
116585250,-0.12,59.82,1.4,48.10,86.9,86.9
116810125,-0.12,61.06,1.3,48.10,84.8,84.8
117035000,-0.06,61.94,0.6,96.19,83.3,83.3
117259875,-0.06,63.17,0.6,96.19,81.3,81.3
117484750,-0.06,64.22,0.6,96.19,79.7,79.7
117709625,-0.06,65.28,0.6,96.19,78.1,78.1
117934500,-0.06,66.33,0.6,96.19,76.5,76.5
118159375,-0.00,67.39,0.0,?,75.0,75.0
118384250,-0.00,68.45,0.0,?,73.5,73.5
118609125,-0.00,69.68,0.0,?,71.8,71.8
118834000,-0.00,70.73,0.0,?,70.4,70.4
119058875,-0.00,71.96,0.0,?,68.9,68.9
119283750,-0.00,73.02,0.0,?,67.5,67.5
119508625,0.06,74.08,0.5,96.19,66.3,66.3
119733500,0.06,75.31,0.5,96.19,64.8,64.8
119958375,0.06,76.36,0.4,96.19,63.6,63.6
120183250,0.06,77.60,0.4,96.19,62.2,62.2
120408125,0.06,78.65,0.4,96.19,61.0,61.0
120633000,0.06,79.88,0.4,96.19,59.7,59.7
120857875,0.12,81.11,0.8,48.10,58.4,58.4
121082750,0.12,82.35,0.8,48.10,57.2,57.2
121307625,0.12,83.40,0.8,48.10,56.1,56.1
121532500,0.12,84.63,0.7,48.10,54.9,54.9
121757375,0.12,85.87,0.7,48.10,53.7,53.7
121982250,0.18,87.10,1.1,98.73,52.6,52.6
122207125,0.18,88.33,1.0,98.73,51.5,51.5
122432000,0.18,89.74,1.0,98.73,50.2,50.2
122656875,0.18,90.97,1.0,98.73,49.2,49.2
122881750,0.23,92.20,1.3,74.05,48.1,48.1
123106625,0.23,93.43,1.3,74.05,47.1,47.1
123331500,0.23,94.84,1.2,74.05,45.9,45.9
123556375,0.23,96.07,1.2,74.05,44.9,45.0
123781250,0.23,97.48,1.2,74.05,43.9,43.9
124006125,0.35,98.71,1.8,49.37,42.9,42.9
124231000,0.35,100.12,1.7,49.37,41.8,41.9
124455875,0.29,101.52,1.4,59.24,40.8,40.8
124680750,0.35,102.93,1.7,49.37,39.8,39.8
124905625,0.29,104.16,1.4,59.24,38.9,39.0
125130500,0.41,105.57,1.9,42.32,37.9,38.0
125355375,0.41,106.98,1.8,42.32,37.0,37.0
125580250,0.41,108.56,1.8,42.32,35.9,36.0
125805125,0.41,109.97,1.8,42.32,35.0,35.0
126030000,0.47,111.38,2.0,37.03,34.1,34.1
126254875,0.47,112.96,1.9,37.03,33.1,33.1
126479750,0.47,114.55,1.9,37.03,32.1,32.2
126704625,0.47,115.95,1.9,37.03,31.2,31.3
126929500,0.47,117.54,1.8,37.03,30.3,30.3
127154375,0.53,119.12,2.0,32.92,29.3,29.4
127379250,0.53,120.70,2.0,32.92,28.4,28.5
127604125,0.53,122.29,2.0,32.92,27.5,27.6
127829000,0.53,123.87,2.0,32.92,26.6,26.7
128053875,0.53,125.63,1.9,32.92,25.6,25.7
128278750,0.53,127.21,1.9,32.92,24.8,24.9
128503625,0.53,128.97,1.9,32.92,23.8,23.9
128728500,0.59,130.56,2.0,29.63,23.0,23.1
128953375,0.59,132.32,2.0,29.63,22.1,22.2
129178250,0.59,134.08,2.0,29.63,21.2,21.2
129403125,0.59,135.84,2.0,29.63,20.3,20.4
129628000,0.59,137.60,1.9,29.63,19.4,19.5
129852875,0.59,139.18,1.9,29.63,18.6,18.7
130077750,0.59,140.94,1.9,29.63,17.7,17.8
130302625,0.59,142.87,1.9,29.63,16.8,16.9
130527500,0.59,144.63,1.9,29.63,15.9,16.0
130752375,0.65,146.39,2.0,26.94,15.1,15.2
130977250,0.65,148.33,2.0,26.94,14.2,14.3
131202125,0.65,150.26,2.0,26.94,13.3,13.4
131427000,0.70,152.20,2.1,24.70,12.4,12.5
131651875,0.70,154.13,2.1,24.70,11.5,11.7
131876750,0.70,156.25,2.1,24.70,10.5,10.7
132101625,0.70,158.36,2.1,24.70,9.5,9.8
132326500,0.70,160.29,2.1,24.70,8.7,8.9
132551375,0.70,162.40,2.1,24.70,7.7,8.0
132776250,0.70,164.34,2.1,24.70,6.9,7.2
133001125,0.70,166.45,2.1,24.70,5.9,6.3
133226000,0.70,168.56,2.0,24.70,5.0,5.4
133450875,0.70,170.67,2.0,24.70,4.1,4.6
133675750,0.70,172.79,2.0,24.70,3.1,3.7
133900625,0.70,175.07,2.0,24.70,2.1,3.0
134125500,0.70,177.36,2.0,24.70,1.1,2.3
134350375,0.70,179.47,2.0,24.70,0.2,2.0
134575250,0.70,180.00,2.0,24.70,0.0,2.0
134800125,0.65,180.00,1.9,26.94,0.0,1.9
135025000,0.65,179.30,1.9,26.94,0.3,1.9
135249875,0.65,177.01,1.9,26.94,1.3,2.3
135474750,0.65,174.72,1.9,26.94,2.3,3.0
135699625,0.59,172.26,1.7,29.63,3.4,3.8
135924500,0.65,169.97,1.9,26.94,4.4,4.8
136149375,0.53,167.68,1.5,32.92,5.4,5.6
136374250,0.59,165.40,1.7,29.63,6.4,6.6
136599125,0.59,163.11,1.7,29.63,7.4,7.6
136824000,0.59,160.65,1.7,29.63,8.5,8.7
137048875,0.53,158.36,1.6,32.92,9.5,9.7
137273750,0.47,156.07,1.4,37.03,10.6,10.7
137498625,0.53,153.61,1.6,32.92,11.7,11.8
137723500,0.53,151.14,1.6,32.92,12.9,13.0
137948375,0.47,148.86,1.5,37.03,13.9,14.0
138173250,0.47,146.39,1.5,37.03,15.1,15.2
138398125,0.47,143.93,1.5,37.03,16.3,16.3
138623000,0.47,141.47,1.5,37.03,17.5,17.5
138847875,0.41,139.00,1.3,42.32,18.7,18.7
139072750,0.41,136.54,1.4,42.32,19.9,20.0
139297625,0.41,134.08,1.4,42.32,21.2,21.2
139522500,0.35,131.44,1.2,49.37,22.5,22.6
139747375,0.35,128.97,1.2,49.37,23.9,23.9
139972250,0.35,126.33,1.3,49.37,25.3,25.3
140197125,0.29,123.87,1.1,59.24,26.6,26.7
140422000,0.29,121.41,1.1,59.24,28.0,28.1
140646875,0.23,118.77,0.9,74.05,29.6,29.6
140871750,0.23,116.30,0.9,74.05,31.1,31.1
141096625,0.18,113.84,0.7,98.73,32.6,32.6
141321500,0.18,111.20,0.7,98.73,34.2,34.2
141546375,0.12,108.74,0.5,48.10,35.8,35.8
141771250,0.06,106.28,0.3,96.19,37.5,37.5
141996125,0.06,103.81,0.3,96.19,39.2,39.2
142221000,-0.00,101.52,0.0,?,40.8,40.8
142445875,-0.00,99.06,0.0,?,42.7,42.7
142670750,-0.06,96.77,0.3,96.19,44.4,44.4
142895625,-0.12,94.31,0.6,48.10,46.4,46.4
143120500,-0.12,92.02,0.7,48.10,48.3,48.3
143345375,-0.18,89.74,1.0,98.73,50.2,50.2
143570250,-0.23,87.27,1.4,74.05,52.4,52.4
143795125,-0.23,84.99,1.5,74.05,54.6,54.6
144020000,-0.29,82.87,1.9,59.24,56.6,56.6
144244875,-0.35,80.59,2.4,49.37,58.9,59.0
144469750,-0.41,78.30,3.0,42.32,61.3,61.4
144694625,-0.41,76.19,3.1,42.32,63.7,63.8
144919500,-0.47,74.08,3.7,37.03,66.1,66.2
145144375,-0.53,71.96,4.4,32.92,68.7,68.8
145369250,-0.53,70.03,4.6,32.92,71.2,71.3
145594125,-0.59,67.92,5.4,29.63,74.0,74.2
145819000,-0.59,65.81,5.7,29.63,77.0,77.2
146043875,-0.65,63.87,6.6,26.94,79.8,80.1
146268750,-0.70,61.94,7.6,24.70,82.8,83.2
146493625,-0.70,60.00,8.1,24.70,86.0,86.4
146718500,-0.76,58.06,9.3,22.80,89.4,89.8
146943375,-0.76,56.30,9.8,22.80,92.6,93.1
147168250,-0.82,54.55,11.2,21.17,96.0,96.6
147393125,-0.82,52.61,11.9,21.17,100.0,100.7
147618000,-0.88,50.85,13.6,19.76,103.7,104.6
147842875,-0.88,49.09,14.5,19.76,107.9,108.8
148067750,-0.88,47.33,15.5,19.76,112.3,113.4
148292625,-0.88,45.57,16.6,19.76,117.0,118.2
148517500,-0.94,43.99,18.9,18.53,121.3,122.7
148742375,-0.94,42.23,20.4,18.53,126.6,128.3
148967250,-0.94,40.47,22.1,18.53,132.4,134.2
149192125,-1.00,38.89,25.2,17.44,137.6,139.8
149417000,-1.00,37.13,27.5,17.44,144.2,146.8
149641875,-1.00,35.54,29.8,17.44,150.7,153.6
149866750,-1.00,33.78,32.8,17.44,158.5,161.8
150091625,-1.00,32.20,35.9,17.44,166.1,169.9
150316500,-1.06,30.79,41.1,16.48,172.5,177.3
150541375,-1.06,29.21,45.3,16.48,181.3,186.9
150766250,-1.06,27.62,50.2,16.48,191.0,197.5
150991125,-1.06,26.22,55.2,16.48,200.3,207.8
151216000,-1.06,24.81,61.1,16.48,210.5,219.2
151440875,-1.06,23.23,68.9,16.48,223.0,233.4
151665750,-1.06,21.82,77.1,16.48,235.1,247.5
151890625,-1.06,20.41,86.8,16.48,248.5,263.2
152115500,-1.06,19.00,98.4,16.48,263.0,280.9
152340375,-1.06,17.60,112.4,16.48,279.0,300.8
152565250,-1.06,16.19,129.5,16.48,296.3,323.4
152790125,-1.00,14.78,145.0,17.44,321.4,352.6
153015000,-1.00,13.37,170.6,17.44,343.1,383.2
153239875,-1.00,11.96,203.1,17.44,366.0,418.6
153464750,-1.00,10.56,244.5,17.44,389.4,459.8
153689625,-1.00,9.15,297.7,17.44,411.5,508.0
153914500,-1.00,7.92,356.6,17.44,427.0,556.4
154139375,-1.00,6.69,429.4,17.44,434.5,610.9
154364250,-0.94,5.45,521.9,18.53,458.3,694.6
154589125,-0.94,4.22,632.5,18.53,430.3,765.0
154814000,-0.94,3.34,717.5,18.53,386.5,815.0
155038875,-0.94,2.46,800.0,18.53,317.6,860.7
155263750,-0.94,1.94,844.1,18.53,263.3,884.2
155488625,-0.88,1.76,905.0,19.76,273.9,945.6
155713500,-0.88,1.76,905.0,19.76,273.9,945.6
155938375,-0.88,1.76,905.0,19.76,273.9,945.6
156163250,-0.88,2.11,872.7,19.76,316.9,928.5
156388125,-0.82,2.64,855.6,21.17,416.2,951.5
156613000,-0.82,3.52,744.6,21.17,482.8,887.4
156837875,-0.82,4.40,638.2,21.17,517.0,821.3
157062750,-0.82,5.63,509.2,21.17,527.7,733.3
157287625,-0.82,6.69,419.9,21.17,516.4,665.6
157512500,-0.82,7.74,348.4,21.17,495.7,605.9
157737375,-0.82,8.80,291.5,21.17,471.0,553.9
157962250,-0.82,10.03,239.6,21.17,440.8,501.8
158187125,-0.82,11.09,204.7,21.17,415.6,463.3
158412000,-0.82,12.32,172.2,21.17,388.0,424.5
158636875,-0.82,13.37,149.9,21.17,366.1,395.6
158861750,-0.76,14.60,121.5,22.80,348.6,369.2
159086625,-0.76,15.66,107.3,22.80,329.4,346.4
159311500,-0.76,16.89,93.5,22.80,309.1,322.9
159536375,-0.76,17.95,83.7,22.80,293.4,305.1
159761250,-0.76,19.00,75.3,22.80,279.0,289.0
159986125,-0.76,20.23,67.0,22.80,263.7,272.1
160211000,-0.76,21.29,61.0,22.80,251.8,259.1
160435875,-0.76,22.35,55.7,22.80,240.8,247.1
160660750,-0.70,23.40,47.4,24.70,232.2,236.9
160885625,-0.70,24.46,43.6,24.70,222.6,226.8
161110500,-0.70,25.51,40.2,24.70,213.7,217.4
161335375,-0.70,26.57,37.2,24.70,205.4,208.7
161560250,-0.70,27.62,34.6,24.70,197.7,200.7
161785125,-0.59,28.68,27.0,29.63,192.0,193.9
162010000,-0.59,29.74,25.2,29.63,185.1,186.8
162234875,-0.59,30.79,23.6,29.63,178.7,180.2
162459750,-0.59,31.85,22.1,29.63,172.6,174.0
162684625,-0.59,32.90,20.8,29.63,166.9,168.2
162909500,-0.59,33.96,19.5,29.63,161.6,162.8
163134375,-0.53,35.01,16.6,32.92,156.9,157.8
163359250,-0.53,36.07,15.7,32.92,152.1,152.9
163584125,-0.53,37.13,14.9,32.92,147.5,148.3
163809000,-0.53,38.18,14.1,32.92,143.2,143.9
164033875,-0.53,39.24,13.4,32.92,139.1,139.8
164258750,-0.47,40.29,11.3,37.03,135.5,135.9
164483625,-0.47,41.17,10.9,37.03,132.3,132.8
164708500,-0.47,42.23,10.4,37.03,128.8,129.2
164933375,-0.47,43.28,9.9,37.03,125.3,125.7
165158250,-0.47,44.34,9.4,37.03,122.1,122.4
165383125,-0.41,45.22,8.0,42.32,119.6,119.9
165608000,-0.41,46.28,7.6,42.32,116.6,116.8
165832875,-0.41,47.33,7.3,42.32,113.7,113.9
166057750,-0.41,48.39,7.0,42.32,110.9,111.1
166282625,-0.41,49.27,6.8,42.32,108.7,108.9
166507500,-0.35,50.32,5.6,49.37,106.2,106.3
166732375,-0.35,51.20,5.4,49.37,104.1,104.3
166957250,-0.35,52.26,5.2,49.37,101.7,101.9
167182125,-0.35,53.31,5.0,49.37,99.4,99.5
167407000,-0.29,54.37,4.0,59.24,97.2,97.3
167631875,-0.29,55.25,3.9,59.24,95.4,95.5
167856750,-0.29,56.30,3.8,59.24,93.3,93.4
168081625,-0.23,57.36,2.9,74.05,91.3,91.4
168306500,-0.23,58.24,2.8,74.05,89.7,89.7
168531375,-0.23,59.30,2.8,74.05,87.8,87.8
168756250,-0.23,60.18,2.7,74.05,86.2,86.3
168981125,-0.18,61.23,2.0,98.73,84.5,84.5
169206000,-0.18,62.29,1.9,98.73,82.7,82.7
169430875,-0.18,63.17,1.8,98.73,81.3,81.3
169655750,-0.12,64.22,1.2,48.10,79.7,79.7
169880625,-0.12,65.28,1.2,48.10,78.1,78.1
170105500,-0.12,66.16,1.1,48.10,76.7,76.8
170330375,-0.12,67.21,1.1,48.10,75.2,75.2
170555250,-0.06,68.27,0.5,96.19,73.8,73.8
170780125,-0.00,69.33,0.0,?,72.3,72.3
171005000,-0.06,70.38,0.5,96.19,70.9,70.9
171229875,0.06,71.44,0.5,96.19,69.5,69.5
171454750,0.06,72.32,0.5,96.19,68.4,68.4
171679625,0.06,73.37,0.5,96.19,67.1,67.1
171904500,0.06,74.43,0.5,96.19,65.8,65.8
172129375,0.12,75.48,0.9,48.10,64.6,64.6
172354250,0.12,76.54,0.9,48.10,63.4,63.4
172579125,0.18,77.60,1.3,98.73,62.2,62.2
172804000,0.18,78.65,1.3,98.73,61.0,61.0
173028875,0.18,79.71,1.2,98.73,59.9,59.9
173253750,0.23,80.76,1.6,74.05,58.8,58.8
173478625,0.23,81.82,1.6,74.05,57.7,57.7
173703500,0.23,82.87,1.5,74.05,56.6,56.6
173928375,0.29,84.11,1.9,59.24,55.4,55.4
174153250,0.29,85.16,1.8,59.24,54.4,54.4
174378125,0.29,86.22,1.8,59.24,53.4,53.4
174603000,0.35,87.27,2.1,49.37,52.4,52.4
174827875,0.35,88.50,2.1,49.37,51.3,51.3
175052750,0.35,89.56,2.0,49.37,50.3,50.4
175277625,0.41,90.79,2.3,42.32,49.3,49.3
175502500,0.41,91.85,2.3,42.32,48.4,48.4
175727375,0.47,93.08,2.6,37.03,47.3,47.4
175952250,0.47,94.13,2.5,37.03,46.5,46.5
176177125,0.47,95.37,2.5,37.03,45.5,45.5
176402000,0.53,96.60,2.7,32.92,44.5,44.6
176626875,0.53,97.83,2.7,32.92,43.5,43.6
176851750,0.59,98.89,2.9,29.63,42.7,42.8
177076625,0.59,100.12,2.9,29.63,41.8,41.9
177301500,0.70,101.35,3.4,24.70,40.8,41.0
177526375,0.70,102.58,3.3,24.70,40.0,40.1
177751250,0.70,103.99,3.3,24.70,39.0,39.1
177976125,0.76,105.22,3.5,22.80,38.1,38.3
178201000,0.76,106.45,3.4,22.80,37.3,37.4
178425875,0.76,107.86,3.4,22.80,36.3,36.5
178650750,0.82,109.09,3.6,21.17,35.5,35.7
178875625,0.82,110.32,3.5,21.17,34.7,34.9
179100500,0.82,111.73,3.4,21.17,33.8,34.0
179325375,0.88,113.14,3.6,19.76,32.9,33.1
179550250,0.88,114.55,3.6,19.76,32.0,32.2
179775125,0.88,115.95,3.5,19.76,31.2,31.4
